agency,dataset_title,parent_alias_id,alias_id,alias,alias_type,prefilter
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,290,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,main,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,302,AIRX3STD,acronym,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,303,AIRS/Aqua Standard Physical Retrieval (AIRS+AMSU) Daily Level 3,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,304,AIRS/Aqua Standard Physical Retrieval (AIRS+AMSU) Daily L3,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,305,AIRS/Aqua Standard Physical Retrieval (AIRS+AMSU) Level 3 Daily,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,306,AIRS/Aqua Standard Physical Retrieval (AIRS+AMSU) L3 Daily,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,307,AMSU+AIRS/Aqua Level 3 Daily Standard Physical Retrieval,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,308,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU),alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,309,AIRS+AMSU/Aqua Level 3 Daily Standard Physical Retrieval,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,310,AIRS+AMSU/Aqua L3 Daily Standard Physical Retrieval,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,311,AIRS/Aqua Level 3 Daily Standard Physical Retrieval (AIRS+AMSU),alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,312,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU),alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,313,Aqua/AIRS Level 3 Daily Standard Physical Retrieval (AIRS+AMSU),alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,314,Aqua/AIRS Standard Physical Retrieval (AIRS+AMSU) L3 Daily,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,315,Aqua/AIRS Standard Physical Retrieval (AIRS+AMSU) Daily Level 3,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,316,Aqua/AIRS Standard Physical Retrieval (AIRS+AMSU) Daily L3,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,317,Aqua/AIRS Standard Physical Retrieval (AIRS+AMSU) Level 3 Daily,alias,
NASA,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU) 1 degree x 1 degree,290,318,AMSU+AIRS/Aqua L3 Daily Standard Physical Retrieval,alias,
